groupe;zone;n_rel;code_rel;versant;latitude;longitude;rec_espece_dominante_arboree;a_ARBUNE;a_CUPSEM;a_QUEILE;a_PINHAL;a_PHIANG;a_PHILAT;a_PISLEN;a_VIBTIN;a_CUPsp;a_CUPMAC;rec_tot;AJUIVA;ANISTE;APIsp;APHMON;ARBUNE;ASPOFF;ARUITA;ARTHER;ASPACU;ASTsp;BELSYL;BITBIT;BISLAE;BRARAM;BRARET;BOTISC;BROERE;BUPRIG;CARsp;CENPAN;CEPLEU;CIRARV;CIRMON;CISMON;CISALB;CLEFLA;CLEVIT;CLINEP;CLAFUR;CONMAC;CONCAN;CORMAJ;CORVAL;CREBUR;CREMOL;CRESAN;CREsp;DACGLO;DACHIS;DORPEN;ECHVUL;ERICAN;ERIGER;EUGsp;EUPCHA;EUPCYP;EUPsp;FESsp;FILLAT;FRAORN;FUMCAP;GALAPA;GAUPRO;GENSCO;GERANI;GERROB;GERROT;GLOBIS;HEDHEL;HIEsp;HIECAE;HIEGLA;HIMROB;HYPsp;HYPRAD;JUNOXY;LAUNOB;LACPER;LACVIR;LONJAP;LINNAR;LINsp;LONICE;LONIMP;LONPER;LOTDOR;NARASS;NEPCAT;OLOMIL;ONOMIN;ONONAT;PETSED;PHIANG;PHILAT;PICHIE;PINHAL;PIPMIL;PISLEN;PISTER;PLALAN;POTREP;POTSAN;QUECOC;QUEILE;QUEPUB;RAMALA;REIPIC;RHAALA;ROSCAN;RUBsp;RUSACU;RUSACU;SALPAR;SALVER;SATMON;SCAMAR;SCOHIS;SEDACR;SEDREF;SEDSED;SED_sp;SELKRA;SESCAE;SHEARV;SILITA;SOLSP;STAREC;SMIASP;SONOLE;SONTER;TARAXA;TEUCHA;THYVUL;TORARV;TRIFSP;TYRLEU;VIBTIN;VINHIR;VINNIG;VULBRO
A;4;1;A4_1;N;43,642166;3,867625;80;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;21,3;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0
A;4;2;A4_2;N;43,642473;3,870116;45;0;0;0;0;0;0;0;0;0;0;12;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
A;4;3;A4_3;N;43,642492;3,870165;30;0;0;0;0;0;0;0;0;0;0;32,99;0;15,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;8,66;0;0;0;1;0;0;0
A;13;1;A13_1;S;43,640011;3,86805;92;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;11;0;0;0
A;13;2;A13_2;S;43,63991;3,86801;45;0;0;18;18;0;0;0;9;0;0;59;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;15;0;0;0
A;13;3;A13_3;S;46,64008;3,8685;60;0;0;28;0;0;0;0;0;0;0;48,5;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0,5;1;0;0;0;0,5;0;0;0;1;0;0;0;0;0,5;0;0,5;0;0;0;0;3,5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;30;0;0;0
A;1;1;A1_1;N;43,642198;3,868634;45;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0,5;0,5;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0
A;1;2;A1_2;N;43,642563;3,868437;35;0;0;0;35;0;0;0;0;0;0;63;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
A;1;3;A1_3;N;43,642387;3,868484;40;0;0;10;0;0;0;0;0;0;0;55,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0,5;0;0,5;0;0;0;0;2;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0
A;2;1;A2_1;N;43,6413889;3,869722222;50;0;0;50;0;0;0;0;0;0;0;146;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;1;0;0;0;0;23;0;5;20;0;15;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0
