Groupe;zone;n_rel;code_rel;versant;latitude;longitude;espece_arbre_dominante;rec_espece_dominante_arboree;rec_tot;ACAMOL;AJUIVA;ALLsp;ALOPRA;ANTCER;APHMON;APIsp;ARBUNE;ARGZAN;ARUITA;ASPACU;ASPCET;ASTsp;BELSYL;BISLAE;BITBIT;BOTISC;BRARET;BRASYL;BROERE;BRYsp;BUPRIG;BUXSEM;CARHAL;CARHUM;CARSYL;CELAUS;CENPAN;CEPLEU;CIRARV;CIRMON;CIRsp;CISALB;CISMON;CLEFLA;CLEVIT;CLINEP;CONCAN;CONCAN;CONMAC;CORVAL;CREBUR;CRESAN;CREsp;CUPSEM;CYNDAC;DACHIS;DORPEN;ECHVUL;ERICAN;EUPCHA;EUPCYP;EUPHELI;EUPSEG;EUPsp;FRAORN;FUMCAP;FUMERI;FUMTHY;GALAPA;GENSCO;GERPUR;GERROB;GERROT;GLOBIS;HEDHEL;HELsp;HIEGLA;HIEsp;HIMROB;HYPsp;IRILUT;JUNOXY;JUNTEN;LACPER;LACVIR;LAUNOB;LINNAR;LINSP;LONIMP;LONJAP;LYCSP;MEDsp;MERANN;MUSNEG;NARASS;OLEEUR;OLOMIL;ONOMIN;ONONAT;OROHED;OSYALB;PANMIL;PETSED;PHIANG;PHILAT;PICHIE;PILOFI;PINHAL;PIPMIL;PISLEN;PISTER;PLALAN;POAsp;POLCAM;POLFOR;POTREP;POTSAN;PROAUT;QUECOC;QUEILE;QUEPUB;RANTUB;REIPIC;RHAALA;ROSCAN;RUBPER;RUBSP;RUSACU;RUTANG;SALROS;SALVER;SAMASP;SANMIN;SATMON;SCAATR;SCAMAR;SCOHIS;SCPEVE;SEDACR;SEDSED;SESMON;SHEARV;SILITA;SIXSP;SMIASP;SOLSP;SONOLE;SONsp;SONTER;SPISPI;STAREC;STEMED;TARsp;TEUCHA;THECIN;THYVUL;TORARV;TRAFOR;TRIFSP;TYRLEU;VERsp;VIBTIN;VICPIS;VINHIR;VINNIG;VIOsp;VULBRO
B;9;1;B9_1;S;43,6393943;3,8679412;PINHAL;75;80;0;0;0;0;1;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;28;0;0;0;0;7;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;35;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;14;1;14-1;N;43,643582;3,86782;PINSYL;10;100;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;75;0;0;0;35;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0
1;14;2;14-2;N;43,643721;3,868496;PINHAL;25;100;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;25;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;0;0;0;0;0
1;14;3;14-3;N;43,644002;3,868388;QUECOC;90;100;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;15;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0
A;2;1;A2_1;N;43,6416935;3,870271;PINHAL;63;64;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;5;0;0;0;0;22;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0
A;2;2;A2_2;N;43,641606;3,870419;PINHAL;70;75;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;2;0;0;0;0;0
A;2;3;A2_3;N;43,641735;3,87076;PINHAL;30;82;0;0;0;0;0;0;0;0;0;0;15;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;6;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;14;0;0;0;0;0
A;13;1;A13_1;N;43,640053;3,868462;PINHAL;75;50;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0,5;0;0;0;16;0;0;0;0;0;0;0;0;0,5;0;5;0;0;3;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0
A;13;2;A13_2;N;43,639935;3,868345;QUEILE;90;41;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;17;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0
A;13;3;A13_3;N;43,63976;3,867806;QUEILE;25;80;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;15;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;23;0;0;0;0;0
