espèces;code;rectification nom;commentaires
acanthus_mollis;ACAMOL;;
ajuga_iva;AJUIVA;;
allium_sp;ALLsp;;
alopecurus_pratensis;ALOPRA;;
anthriscus_cerefolium;ANTCER;;
aphyllanthes_monspeliensis;APHMON;;
apiaceae_sp;APIsp;;
arbutus_unedo;ARBUNE;;
argyrolobium_zanonii;ARGZAN;;
arum_italicum;ARUITA;;
asparagus_acutifolius;ASPACU;;
asteraceae_sp;ASTsp;;
bellis_sylvestris;BELSYL;;
biscutella_laevigata;BISLAE;;
bituminaria_bituminosa;BITBIT;;
botriochloa_ischnaemum;BOTISC;;
brachypodium_retusum;BRARET;;
bromus_erectus;BROERE;;
bupleurum_rigidum;BUPRIG;;
carex_halleriana;CARHAL;;
carex_humilis;CARHUM;;
carex_sylvatica;CARSYL;;
celtis_australis;CELAUS;;
centaurea_paniculata;CENPAN;;
cephalaria_leucanthum;CEPLEU;;
cirsium_arvense;CIRARV;;
cirsium_monspessulanum;CIRMON;;
circium_sp;CIRsp;;
cistus_albidus;CISALB;;
cistus_monspeliensis;CISMON;;
clematis_flammula;CLEFLA;;
clematis_vitalba;CLEVIT;;
clinopodium_nepeta;CLINEP;;
conium_maculatum;CONMAC;;
coronilla_valentina;CORVAL;;
crepis_bursifolia;CREBUR;;
crepis_sancta;CRESAN;;
crepis_sp;CREsp;;
cupressus_sempervirens;CUPSEM;;
dactylis_hispanica;DACHIS;dactylis_glomerata;
dorycnum_pentaphyllum;DORPEN;lotus_dorycnium;
echium_vulgare;ECHVUL;;
erigeron_canadensis;ERICAN;;
euphorbia_characias;EUPCHA;;
euphorbia_cyparissias;EUPCYP;;
euphorbia_helioscopia;EUPHELI;;
euphorbia_sp;EUPsp;;
fraxinus_ornus;FRAORN;;
fumaria_capreolata;FUMCAP;;
gallium_aparine;GALAPA;;
geranium_purpureum;GERPUR;;
geranium_robertianum;GERROB;;
geranium_rotundifolium;GERROT;;
globularia_bisnagarica;GLOBIS;;
hedera_helix;HEDHEL;;
helianthemum_sp;HELsp;;
hieracium_glaucinum;HIEGLA;;
hieracium_sp;HIEsp;;
himantoglossum_robertianum;HIMROB;;
juniperus_oxycedrus;JUNOXY;;
lactuca_perennis;LACPER;;
lactuca_virosa;LACVIR;;
laurus_nobilis;LAUNOB;;
linum_narbonense;LINNAR;;
linum_sp;LINSP;;
lonicera_implexa;LONIMP;;
lonicera_japonica;LONJAP;;
medicago_sp;MEDsp;;
mercurialis_annua;MERANN;;
muscari_neglectum;MUSNEG;;
narcissus_assoanus;NARASS;;
ononis_minutissima;ONOMIN;;
ononis_natrix;ONONAT;;
orobanche_hederae;OROHED;;
osyris_alba;OSYALB;;
panicum_miliaceum;PANMIL;;
petrosedum_sediforme;PETSED;;
phillyrea_angustifolia;PHIANG;;
phillyrea_latifolia;PHILAT;;
picris_hieracioides;PICHIE;;
pilosella_officinarum;PILOFI;;
pinus_halenpensis;PINHAL;;
piptatherum_miliaceum;PIPMIL;;
pistacia_lentiscus;PISLEN;;
pistacia_terebinthus;PISTER;;
plantago_lanceolata;PLALAN;;
poterium_sanguisorba;POTSAN;;
quercus_coccifera;QUECOC;;
quercus_ilex;QUEILE;;
quercus_pubescens;QUEPUB;;
reichardia_picroides;REIPIC;;
rhamnus_alaternus;RHAALA;;
rosa_canina;ROSCAN;;
rubia_peregrina;RUBPER;;
rubus_sp;RUBSP;;
ruscus_aculeatus;RUSACU;;
salvia_verbenaca;SALVER;;
smilax_aspera;SAMASP;;
satureja_montana;SATMON;;
scabiosa_maritima;SCAMAR;sixalix_atropurpurea_maritima;
scolymus_hispanicus;SCOHIS;;
sedum_acris;SEDACR;;
sedum_sediforme;SEDSED;petrosedum_sediforme;double
sherardia_arvensis;SHEARV;;
silene_italica;SILITA;;
smilax_aspera;SMIASP;;
solidago_sp;SOLSP;;
sonchus_oleraceus;SONOLE;;
sonchus_sp;SONsp;;
sonchus_tenerimus;SONTER;;
spiranthes_spiralis;SPISPI;;
stachys_recta;STAREC;;
stellaria_media;STEMED;;
taraxacum_sp;TARsp;;
teucrium_chamaedrys;TEUCHA;;
thymus_vulgaris;THYVUL;;
torilis_arvensis;TORARV;;
trifolium_sp;TRIFSP;;
tyrimnus_leucographus;TYRLEU;;
verbascum_sp;VERsp;;
viburnum_tinus;VIBTIN;;
