groupe;espece;code_espece;individus;chlorophylle;type_biologique
gA2;clematis_flammula;CLEFLA;1;46,9;chamephyte
gA2;clematis_flammula;CLEFLA;2;48,7;chamephyte
gA2;clematis_flammula;CLEFLA;3;41,5;chamephyte
gA13;lactuca_virosa;LACVIR;1;31,7;therophyte
gA13;lactuca_virosa;LACVIR;2;36,5;therophyte
gA13;lactuca_virosa;LACVIR;3;31;therophyte
gA13;pistacia_lentiscus;PISLEN;1;70,3;phanerophyte
gA13;pistacia_lentiscus;PISLEN;2;57;phanerophyte
gA13;pistacia_lentiscus;PISLEN;3;51,3;phanerophyte
gA2;phillyrea_angustifolia;PHIANG;1;62,5;phanerophyte
gA2;phillyrea_angustifolia;PHIANG;2;61,3;phanerophyte
gA2;phillyrea_angustifolia;PHIANG;3;76,2;phanerophyte
gA1;phillyrea_latifolia;PHILAT;1;69,7;phanerophyte
gA1;phillyrea_latifolia;PHILAT;2;71,7;phanerophyte
gA1;phillyrea_latifolia;PHILAT;3;70,6;phanerophyte
gA1;ruscus_aculeatus;RUSACU;1;40,6;chamephyte
gA1;ruscus_aculeatus;RUSACU;2;74,7;chamephyte
gA1;ruscus_aculeatus;RUSACU;3;68,8;chamephyte
gA5;bellis_sylvestris;BELSYL;1;38,7;hemicryptophyte
gA5;bellis_sylvestris;BELSYL;2;34;hemicryptophyte
gA5;bellis_sylvestris;BELSYL;3;41,2;hemicryptophyte
gA5;scabiosa_maritima;SCAMAR;1;40,6;hemicryptophyte
gA5;scabiosa_maritima;SCAMAR;2;49,5;hemicryptophyte
gA5;scabiosa_maritima;SCAMAR;3;42;hemicryptophyte
gB12;Smilax_aspera;SMIASP;1;45,4;phanerophyte
gB12;Smilax_aspera;SMIASP;2;47;phanerophyte
gB12;Smilax_aspera;SMIASP;3;45;phanerophyte
gB12;ononis_natrix;ONONAT;1;28,96;chamephyte
gB12;ononis_natrix;ONONAT;2;13,7;chamephyte
gB12;ononis_natrix;ONONAT;3;9,7;chamephyte
gA4;silene_italina;SILITA;1;53,1;chamephyte
gA4;silene_italina;SILITA;2;43;chamephyte
gA4;silene_italina;SILITA;3;47,4;chamephyte
gA4;rubia_peregrina;RUBPER;1;63,6;phanerophyte
gA4;rubia_peregrina;RUBPER;2;63;phanerophyte
gA4;rubia_peregrina;RUBPER;3;62,4;phanerophyte
gB7;viburnum_tinus;VIBTIN;1;59,3;phanerophyte
gB7;viburnum_tinus;VIBTIN;2;49,4;phanerophyte
gB7;viburnum_tinus;VIBTIN;3;56,8;phanerophyte
gB7;quercus_coccifera;QUECOC;1;30,8;phanerophyte
gB7;quercus_coccifera;QUECOC;2;35,5;phanerophyte
gB7;quercus_coccifera;QUECOC;3;29,2;phanerophyte
gB3;geranium_robertianum;GERROB;1;18,7;therophyte
gB3;geranium_robertianum;GERROB;2;14,4;therophyte
gB3;geranium_robertianum;GERROB;3;20,9;therophyte
gB3;rubia_peregrina;RUBPAR;1;47,6;phanerophyte
gB3;rubia_peregrina;RUBPAR;2;56,6;phanerophyte
gB3;rubia_peregrina;RUBPAR;3;35;phanerophyte
gB3;clematis_flammula;CLEFLA;1;39,1;chamephyte
gB3;clematis_flammula;CLEFLA;2;37,5;chamephyte
gB3;clematis_flammula;CLEFLA;3;40,2;chamephyte
gA11;brachypodium_ramosum;BRARAM;1;16;hemicryptophyte
gA11;brachypodium_ramosum;BRARAM;2;11,7;hemicryptophyte
gA11;brachypodium_ramosum;BRARAM;3;7;hemicryptophyte
gA11;pistacia_terebinthus;PISTER;1;42,8;phanerophyte
gA11;pistacia_terebinthus;PISTER;2;46,7;phanerophyte
gA11;pistacia_terebinthus;PISTER;3;51;phanerophyte
gB6;cistus_monspeliensis;CISMON;1;35,7;chamephyte
gB6;cistus_monspeliensis;CISMON;2;37,4;chamephyte
gB6;cistus_monspeliensis;CISMON;3;40,1;chamephyte
gB6;bupleurum_rigidum;BUPRIG;1;27,9;hemicryptophyte
gB6;bupleurum_rigidum;BUPRIG;2;30,3;hemicryptophyte
gB6;bupleurum_rigidum;BUPRIG;3;9,4;hemicryptophyte
gA8;plantago_lanceolata;PLALAN;1;49,5;hemicryptophyte
gA8;plantago_lanceolata;PLALAN;2;49,7;hemicryptophyte
gA8;plantago_lanceolata;PLALAN;3;49,5;hemicryptophyte
gA8;hedera_helix;HEDHEL;1;62;phanerophyte
gA8;hedera_helix;HEDHEL;2;63,4;phanerophyte
gA8;hedera_helix;HEDHEL;3;55,2;phanerophyte
gA3;arbutus_unedo;ARBUNE;1;56,15;phanerophyte
gA3;arbutus_unedo;ARBUNE;2;61,54;phanerophyte
gA3;rubia_tinctorum;RUBTIN;1;58,08;hemicryptophyte
gA3;rubia_tinctorum;RUBTIN;2;49,8;hemicryptophyte
gA10;vincetoxicum_hirundinaria;VINHIR;1;22,3;hemicryptophyte
gA10;vincetoxicum_hirundinaria;VINHIR;2;22,5;hemicryptophyte
gA10;vincetoxicum_hirundinaria;VINHIR;3;21,1;hemicryptophyte
gA10;bituminaria_bituminosa;BITBIT;1;43,25;hemicryptophyte
gA10;bituminaria_bituminosa;BITBIT;2;43,55;hemicryptophyte
gA10;bituminaria_bituminosa;BITBIT;3;45,665;hemicryptophyte
gA12;thymus_vulgaris;THYVUL;1;11,3;chamephyte
gA12;cirsum_arvense;CIRARV;1;30,5;hemicryptophyte
gA12;bromus_erectus;BROERE;1;45,3;therophyte
