code;espece;code_espece;individus;chlorophylle;type_biologique
GB_3;teucrium_chamaedrys;TEUCHA;1;52,4;chamephyte
GB_3;teucrium_chamaedrys;TEUCHA;2;54;chamephyte
GB_3;teucrium_chamaedrys;TEUCHA;3;50,7;chamephyte
GB_3;teucrium_chamaedrys;TEUCHA;4;53,4;chamephyte
GB_3;teucrium_chamaedrys;TEUCHA;5;53,8;chamephyte
gA7;euphorbia_characias;EUPCHA;1;65,4;chamephyte
gA7;euphorbia_characias;EUPCHA;2;51,4;chamephyte
gA7;euphorbia_characias;EUPCHA;3;71,2;chamephyte
gA7;euphorbia_characias;EUPCHA;4;54,8;chamephyte
gA7;euphorbia_characias;EUPCHA;5;62,6;chamephyte
g1-14;rubus_sp;RUBSP;1;39,45;chamephyte
g1-14;rubus_sp;RUBSP;2;40,05;chamephyte
g1-14;rubus_sp;RUBSP;3;36,55;chamephyte
g1-14;rubus_sp;RUBSP;4;27,4;chamephyte
g1-14;rubus_sp;RUBSP;5;39,25;chamephyte
gA9;arum_italicum;ARUITA;1;44,5;geophyte
gA10;arum_italicum;ARUITA;2;38,5;geophyte
gA11;arum_italicum;ARUITA;3;40,8;geophyte
gA12;arum_italicum;ARUITA;4;45,8;geophyte
gA13;arum_italicum;ARUITA;5;45,3;geophyte
gB6;carex_halleriana;CARHAL;1;25,3;geophyte
gB6;carex_halleriana;CARHAL;2;20,6;geophyte
gB6;carex_halleriana;CARHAL;3;17,3;geophyte
gB6;carex_halleriana;CARHAL;4;15,9;geophyte
gB6;carex_halleriana;CARHAL;5;13,3;geophyte
gB5;Himantoglossum_robertianum;HIMROB;1;50,5;geophyte
gB5;Himantoglossum_robertianum;HIMROB;2;56,8;geophyte
gB5;Himantoglossum_robertianum;HIMROB;3;55,4;geophyte
gB5;Himantoglossum_robertianum;HIMROB;4;44,1;geophyte
gB5;Himantoglossum_robertianum;HIMROB;5;40,2;geophyte
g1_12;ruscus_aculeatus;RUSACU;1;53,9;geophyte
g1_12;ruscus_aculeatus;RUSACU;2;56,9;geophyte
g1_12;ruscus_aculeatus;RUSACU;3;59,8;geophyte
g1_12;ruscus_aculeatus;RUSACU;4;55,9;geophyte
g1_12;ruscus_aculeatus;RUSACU;5;65,2;geophyte
gB5;spiranthes_spiralis;SPISPI;1;44,8;geophyte
gB5;spiranthes_spiralis;SPISPI;2;44,7;geophyte
gB5;spiranthes_spiralis;SPISPI;3;48,4;geophyte
gB5;spiranthes_spiralis;SPISPI;4;42,5;geophyte
gB5;spiranthes_spiralis;SPISPI;5;35,3;geophyte
gA1;bituminaria_bituminosa;BITBIT;1;32,8;hemicryptophyte
gA2;bituminaria_bituminosa;BITBIT;2;36;hemicryptophyte
gA3;bituminaria_bituminosa;BITBIT;3;38,9;hemicryptophyte
gA4;bituminaria_bituminosa;BITBIT;4;39,1;hemicryptophyte
gA5;bituminaria_bituminosa;BITBIT;5;40,2;hemicryptophyte
gA13;carex_sylvatica;CARSYL;1;48,8;hemicryptophyte
gA13;carex_sylvatica;CARSYL;2;52,9;hemicryptophyte
gA13;carex_sylvatica;CARSYL;3;55;hemicryptophyte
gA13;carex_sylvatica;CARSYL;4;33,5;hemicryptophyte
gA13;carex_sylvatica;CARSYL;5;53;hemicryptophyte
gA11;silene_italica;SILITA;5;44,1;hemicryptophyte
g1_8;bituminaria_bituminosa;BITBIT;1;44;hemicryptophyte
g1_8;bituminaria_bituminosa;BITBIT;2;45,3;hemicryptophyte
g1_8;bituminaria_bituminosa;BITBIT;3;46;hemicryptophyte
g1_8;bituminaria_bituminosa;BITBIT;4;45,6;hemicryptophyte
g1_8;bituminaria_bituminosa;BITBIT;5;45,1;hemicryptophyte
g2_09;brachpodium_retusum;BRARET;1;16,6;hemicryptophyte
g2_09;brachpodium_retusum;BRARET;2;29,8;hemicryptophyte
g2_09;brachpodium_retusum;BRARET;3;17,5;hemicryptophyte
g2_09;brachpodium_retusum;BRARET;4;17,4;hemicryptophyte
g2_09;brachpodium_retusum;BRARET;5;29,5;hemicryptophyte
gB4;brachypodium_sylvaticum;BRASYL;1;34,9;hemicryptophyte
gB4;brachypodium_sylvaticum;BRASYL;2;34,5;hemicryptophyte
gB4;brachypodium_sylvaticum;BRASYL;3;35,2;hemicryptophyte
gB4;brachypodium_sylvaticum;BRASYL;4;32,1;hemicryptophyte
gB4;brachypodium_sylvaticum;BRASYL;5;26,7;hemicryptophyte
g1_8;diplotaxis_erucoides;DIPERU;1;37,7;hemicryptophyte
g1_8;diplotaxis_erucoides;DIPERU;2;36,3;hemicryptophyte
g1_8;diplotaxis_erucoides;DIPERU;3;34,8;hemicryptophyte
g1_8;diplotaxis_erucoides;DIPERU;4;37;hemicryptophyte
g1_8;diplotaxis_erucoides;DIPERU;5;34,8;hemicryptophyte
g2_14;Euphorbia_segetalis;EUPSEG;1;34,4;hemicryptophyte
g2_14;Euphorbia_segetalis;EUPSEG;2;26,9;hemicryptophyte
g2_14;Euphorbia_segetalis;EUPSEG;3;36;hemicryptophyte
gB2;vincetoxicum_nigrum;VINNIG;1;37,7;hemicryptophyte
gB2;vincetoxicum_nigrum;VINNIG;2;48,7;hemicryptophyte
gB2;vincetoxicum_nigrum;VINNIG;3;51,2;hemicryptophyte
gB2;vincetoxicum_nigrum;VINNIG;4;49,4;hemicryptophyte
gB2;vincetoxicum_nigrum;VINNIG;5;46,2;hemicryptophyte
gA4;cistus_albidus;CISALB;1;33,7;phanerophyte
gA4;cistus_albidus;CISALB;2;40,7;phanerophyte
gA4;cistus_albidus;CISALB;3;36;phanerophyte
gA4;cistus_albidus;CISALB;4;40,7;phanerophyte
gA4;cistus_albidus;CISALB;5;36,2;phanerophyte
gB10;osyris_alba;OSYALB;5;52,5;phanerophyte
g1_10;phillyrea_latifolia;PHILAT;1;58,9;phanerophyte
g1_10;phillyrea_latifolia;PHILAT;2;60,2;phanerophyte
g1_10;phillyrea_latifolia;PHILAT;3;61,7;phanerophyte
g1_10;phillyrea_latifolia;PHILAT;4;63;phanerophyte
g1_10;phillyrea_latifolia;PHILAT;5;62,2;phanerophyte
gA1;pistacia_lentiscus;PISLEN;1;47,1;phanerophyte
gA1;pistacia_lentiscus;PISLEN;2;62,9;phanerophyte
gA1;pistacia_lentiscus;PISLEN;3;62,9;phanerophyte
gA1;pistacia_lentiscus;PISLEN;4;46,4;phanerophyte
gA1;pistacia_lentiscus;PISLEN;5;64,6;phanerophyte
g1-14;pistacia_terebinthus;PISTER;1;20,25;phanerophyte
g1-14;pistacia_terebinthus;PISTER;2;17,15;phanerophyte
g1-14;pistacia_terebinthus;PISTER;3;22;phanerophyte
g1-14;pistacia_terebinthus;PISTER;4;17,1;phanerophyte
g1-14;pistacia_terebinthus;PISTER;5;19,05;phanerophyte
g1_6;rhamnus_alaternus;RHAALA;1;57,4;phanerophyte
g1_6;rhamnus_alaternus;RHAALA;2;65,3;phanerophyte
g1_6;rhamnus_alaternus;RHAALA;3;62,4;phanerophyte
g1_6;rhamnus_alaternus;RHAALA;4;66;phanerophyte
g1_6;rhamnus_alaternus;RHAALA;5;55,1;phanerophyte
gA2;rubia_peregrina;RUBPER;1;68,3;phanerophyte
gA2;rubia_peregrina;RUBPER;1;69,4;phanerophyte
gA2;rubia_peregrina;RUBPER;1;66,55;phanerophyte
gA2;rubia_peregrina;RUBPER;1;59,1;phanerophyte
gA2;rubia_peregrina;RUBPER;1;56,55;phanerophyte
g1_8;viburnum_tinus;VIBTIN;1;39,6;phanerophyte
g1_8;viburnum_tinus;VIBTIN;2;42,8;phanerophyte
g1_8;viburnum_tinus;VIBTIN;3;41,2;phanerophyte
g1_8;viburnum_tinus;VIBTIN;4;36,6;phanerophyte
g1_8;viburnum_tinus;VIBTIN;5;49,3;phanerophyte
gA7;lonicera_implexa;LONIMP;1;23,7;phanerophyte
gA7;lonicera_implexa;LONIMP;2;31,6;phanerophyte
gA7;lonicera_implexa;LONIMP;3;45,4;phanerophyte
gA7;lonicera_implexa;LONIMP;4;35,4;phanerophyte
gA7;lonicera_implexa;LONIMP;5;40,7;phanerophyte
gA3;smilax_aspera;SAMASP;1;46,6;phanerophyte
gA3;smilax_aspera;SAMASP;2;46,8;phanerophyte
gA3;smilax_aspera;SAMASP;3;47,7;phanerophyte
gA3;smilax_aspera;SAMASP;4;45,1;phanerophyte
gA3;smilax_aspera;SAMASP;5;45,3;phanerophyte
gB12;smilax_aspera;SMIASP;1;46,4;phanerophyte
gB12;smilax_aspera;SMIASP;2;38,2;phanerophyte
gB12;smilax_aspera;SMIASP;3;42,3;phanerophyte
gB12;smilax_aspera;SMIASP;4;46,5;phanerophyte
gB12;smilax_aspera;SMIASP;5;36;phanerophyte
G2_13;Crepis_sancta;CRESAN;1;25,4;therophyte
G2_13;Crepis_sancta;CRESAN;2;29,1;therophyte
G2_13;Crepis_sancta;CRESAN;3;40,7;therophyte
G2_13;Crepis_sancta;CRESAN;4;31,9;therophyte
G2_13;Crepis_sancta;CRESAN;5;24,6;therophyte
